n,m,density,greedy,greedy_std,fv,er,sw025,sw050,sw075,win,tie
36,216,0.3429,7.613649,0.108859,8.7254712195,8.624181738,4.5361078167,6.5961593129,7.4362320871,0,0
36,217,0.3444,7.521161,0.122819,8.7716667748,8.7003838574,5.0692128356,6.0252634663,7.4997447418,0,0
36,218,0.3460,7.540960,0.151472,8.8385547353,8.7426611768,4.7348033619,6.3357269912,7.054344894,0,0
36,219,0.3476,7.681163,0.358217,8.917205782,8.8966057266,4.6499245269,6.4944891582,7.3702267225,0,0
36,220,0.3492,7.662860,0.273253,8.9732052462,9.09105286,4.7828929298,6.6571008111,6.4274754838,0,0
36,221,0.3508,7.352589,0.354156,9.0827485117,9.2760730706,4.7852991619,6.5109979794,7.5888483327,0,0
36,222,0.3524,7.648699,0.338398,9.0965934425,9.3147900071,4.9565784675,6.4676132935,7.2271738625,0,0
36,223,0.3540,7.932281,0.126729,9.1445906727,9.3659279818,5.3364071517,6.5800923256,7.6994674033,0,0
36,224,0.3556,7.572366,0.518998,9.2081320267,9.3840778495,5.089516542,6.5127458267,7.5632995411,0,0
36,225,0.3571,7.458374,0.618570,9.2521795005,9.4317277419,5.3042521041,6.6417367425,7.0991022144,0,0
36,226,0.3587,7.927773,0.103072,9.3011436085,9.4411645786,5.3519196271,6.7065919911,7.6054159257,0,0
36,227,0.3603,7.856600,0.262726,9.3680636622,9.4851063136,5.367109114,6.8725203096,7.6751593365,0,0
36,228,0.3619,7.647580,0.419966,9.4605221475,9.5470085645,5.3426501095,7.0902241174,7.9249657291,0,0
36,229,0.3635,8.089381,0.288741,9.5130803857,9.568379628,5.4473032598,7.122937654,7.2978896006,0,0
36,230,0.3651,7.979807,0.262221,9.5988664389,9.7031893192,5.5531069194,6.8809520429,7.0942137844,0,0
36,231,0.3667,8.085955,0.316365,9.6565256124,9.7357896135,5.5104221389,5.90482442,8.079060486,0,0
36,232,0.3683,7.980673,0.245650,9.7099512189,9.7599518448,5.5402295539,7.2274487695,7.2155903471,0,0
36,233,0.3698,8.188897,0.108556,9.7642959999,9.7604726275,5.5948549169,7.478132178,7.0704780242,0,0
36,234,0.3714,8.349663,0.147410,9.7952750558,10.1386087639,5.6826478636,7.1584470326,7.3385480159,0,0
36,235,0.3730,8.174416,0.190046,9.9061432401,10.1903435822,5.4880056948,7.1327711228,7.7413902845,0,0
36,236,0.3746,8.436509,0.071084,9.9344808421,10.1938632538,6.0225336671,7.7049806054,7.7343508817,0,0
36,237,0.3762,8.236072,0.409560,9.9594549999,10.2032046113,5.8040843614,7.368683534,8.0897677495,0,0
36,238,0.3778,8.488947,0.275220,10.0037905068,10.2126820645,6.1239734413,7.1614904153,7.7277594029,0,0
36,239,0.3794,8.476569,0.379214,10.0608037499,10.2244290707,6.0205422932,7.2331671384,8.4965624393,0,0
36,240,0.3810,8.329759,0.268722,10.0784688918,10.2423897582,6.2607524438,7.451589103,8.1487930734,0,0
36,241,0.3825,8.104892,0.592316,10.2407528389,10.2575192464,6.0492148291,7.1756515818,8.2610200477,0,0
36,242,0.3841,8.523523,0.316747,10.2527385391,10.385515801,5.9542389693,7.4354683075,8.6909255032,0,0
36,243,0.3857,8.753223,0.199343,10.2730601296,10.4077168325,5.9698858546,7.6732528503,8.7358917002,0,0
36,244,0.3873,8.690330,0.589996,10.2968885801,10.5737198376,6.3249807604,7.5680242315,8.7321566357,0,0
36,245,0.3889,8.670211,0.461008,10.3780264816,10.6323620148,6.3488433721,7.8977606744,8.7168963834,0,0
36,246,0.3905,8.607262,0.484807,10.4378308113,10.6331292787,6.458547236,7.8041363825,8.9681705374,0,0
36,247,0.3921,8.622555,0.447181,10.5079126339,10.6519858907,6.5980767253,7.8570448655,8.2539733709,0,0
36,248,0.3937,8.753936,0.412570,10.5384614471,10.7338719117,6.7127175961,7.4404565879,9.0413524267,0,0
36,249,0.3952,9.116572,0.351780,10.5886821726,10.7489483897,6.4707276429,8.0044352185,8.1760627802,0,0
36,250,0.3968,8.665232,0.462520,10.6420649789,10.8227284503,6.7481896483,7.8078657881,8.2570924035,0,0
36,251,0.3984,9.179115,0.199624,10.6798084327,10.8321349164,7.211018462,7.5637045836,8.067116713,0,0
36,252,0.4000,9.154279,0.137163,10.7499815019,10.8488106884,6.4560768041,8.5372340904,7.8872121785,0,0
36,253,0.4016,9.250463,0.414417,10.7878871363,10.9043033476,6.5773795119,8.5318984796,9.8274850974,0,0
36,254,0.4032,9.471842,0.247951,10.8730146792,11.21548857,6.4448382164,8.2162647101,9.0906341439,0,0
36,255,0.4048,9.302582,0.090783,10.9034819566,11.2664029665,6.5426683423,8.3073817078,8.7612165358,0,0
36,256,0.4063,9.336835,0.137337,10.9110110933,11.2674449389,6.4237001416,8.5782048343,9.8227290972,0,0
36,257,0.4079,9.490678,0.397888,11.0068234755,11.267474601,6.6278411518,7.7143103087,9.7554055215,0,0
36,258,0.4095,9.226514,0.449482,11.0690372988,11.3148298134,6.976655675,8.2919545927,9.5872616754,0,0
36,259,0.4111,8.783430,0.696141,11.1293889509,11.4041973695,6.8169874076,8.3513246115,8.6228433258,0,0
36,260,0.4127,9.216374,0.316333,11.1615050224,11.4108295412,6.5235611694,8.4701335618,8.7627537795,0,0
36,261,0.4143,9.565052,0.239890,11.2247338924,11.4445527657,6.8625656203,8.2368467419,9.7339003212,0,0
36,262,0.4159,9.709623,0.208470,11.2819087005,11.5261197485,6.7320734892,8.5935315808,8.8881614075,0,0
36,263,0.4175,9.782256,0.225162,11.3748565515,11.5824715336,7.0480323499,8.7650904075,8.9480088645,0,0
36,264,0.4190,9.531732,0.433616,11.4994653427,11.6687560884,6.9900206384,9.0934076606,9.578546378,0,0
36,265,0.4206,9.670249,0.205399,11.5232644446,11.6915919124,6.864722538,8.8370940638,9.3447640238,0,0
36,266,0.4222,9.859025,0.303447,11.5629983723,11.6983705159,7.3324558136,7.8466964995,9.2637859509,0,0
36,267,0.4238,10.020925,0.345095,11.6236868714,11.6986694719,7.0728207827,8.5272728514,9.3563863387,0,0
36,268,0.4254,9.844286,0.372846,11.6793728884,11.719306248,7.5013871926,8.6163757454,9.6813959116,0,0
36,269,0.4270,10.148882,0.143930,11.6991524983,11.731639694,7.0618679325,8.8848896297,9.8761270624,0,0
36,270,0.4286,9.913118,0.301328,11.7427108147,11.9036808469,7.4465019055,8.4012399819,9.4934798487,0,0
36,271,0.4302,10.049057,0.310032,11.8129051068,11.9491496756,7.8377254322,9.0608737016,10.2085780715,0,0
36,272,0.4317,10.055670,0.354363,11.9156913995,12.0532349247,7.7919718053,8.901627597,10.5166945371,0,0
36,273,0.4333,10.139975,0.312242,11.9579566625,12.0736188336,7.5579450346,9.2360479656,9.1894555161,0,0
36,274,0.4349,10.409716,0.261767,11.9932153583,12.1006760886,7.5375582715,9.202122323,9.7223540113,0,0
